Questions,Answers,,,,,,,,,,,,,,,,,,,,,,,,
How does family planning support gender equality?,"It empowers women to make decisions about their bodies, education, and career, promoting equal opportunities.",,,,,,,,,,,,,,,,,,,,,,,,
What type of contraceptive methods should health facilities provide according to Nepal’s plan?,"A full range, including short-term, long-term, and permanent methods to meet different needs.",,,,,,,,,,,,,,,,,,,,,,,,
What are high-risk pregnancies?,"Pregnancies that occur too early, too late, too frequently, or under unsafe conditions that threaten the health of mother or baby.",,,,,,,,,,,,,,,,,,,,,,,,
Why is it important to space births?,"Proper spacing allows mothers to recover, improves child health, and reduces the risk of complications.",,,,,,,,,,,,,,,,,,,,,,,,
How can expanding FP services help Nepal’s economy?,"It reduces healthcare costs, increases women’s participation in the workforce, and contributes to national productivity.",,,,,,,,,,,,,,,,,,,,,,,,
What does ‘incremental cost-effectiveness’ mean in family planning?,"It refers to the additional cost required to achieve specific health outcomes, like preventing a pregnancy or saving a life.",,,,,,,,,,,,,,,,,,,,,,,,
What is the FP2020 initiative?,A global partnership aimed at enabling women and girls to decide freely and responsibly whether and when to have children.,,,,,,,,,,,,,,,,,,,,,,,,
How does family planning improve education outcomes?,It allows women and girls to continue education by reducing early and unintended pregnancies.,,,,,,,,,,,,,,,,,,,,,,,,
What is one reason why Nepal’s government prioritizes long-acting methods?,They require fewer follow-ups and are more reliable for women in remote areas.,,,,,,,,,,,,,,,,,,,,,,,,
How does family planning improve child survival rates?,"By reducing unplanned pregnancies, ensuring proper birth spacing, and allowing parents to focus on each child’s health and nutrition.",,,,,,,,,,,,,,,,,,,,,,,,
What kind of women benefit most from improved family planning access?,"Poor, rural, and marginalized women benefit the most because they face the greatest access barriers.",,,,,,,,,,,,,,,,,,,,,,,,
What is a voluntary surgical contraception (VSC)?,"It is a permanent method of family planning, such as tubal ligation or vasectomy.",,,,,,,,,,,,,,,,,,,,,,,,
What message does family planning send about empowerment?,That women and families have the right to decide the timing and number of children they want.,,,,,,,,,,,,,,,,,,,,,,,,
How does improving FP access strengthen healthcare systems?,"It increases service quality, reduces maternal deaths, and builds trust in healthcare providers.",,,,,,,,,,,,,,,,,,,,,,,,
What is one key barrier to family planning in rural Nepal?,Limited access to healthcare centers and trained health workers in remote areas.,,,,,,,,,,,,,,,,,,,,,,,,
What does 'cost-effective investment' mean in the context of FP?,It means that the money spent on family planning brings high returns in terms of health and economic benefits.,,,,,,,,,,,,,,,,,,,,,,,,
What role does education play in increasing contraceptive use?,Educated women are more likely to understand and use contraception effectively.,,,,,,,,,,,,,,,,,,,,,,,,
What can be done to help men participate more in family planning?,Awareness campaigns and counseling can encourage men to share responsibility and support their partners.,,,,,,,,,,,,,,,,,,,,,,,,
How can local governments contribute to FP goals?,"They can allocate budgets, organize awareness programs, and strengthen local health services.",,,,,,,,,,,,,,,,,,,,,,,,
Why does the government target marginalized groups in FP programs?,Because they have the highest unmet need and face greater inequalities in access.,,,,,,,,,,,,,,,,,,,,,,,,
What does 'high-quality FP services' mean?,"It refers to safe, accessible, confidential, and client-centered family planning services.",,,,,,,,,,,,,,,,,,,,,,,,
How can media campaigns support FP goals?,"Through radio, TV, and community outreach that spread accurate information and reduce stigma.",,,,,,,,,,,,,,,,,,,,,,,,
What is the importance of monitoring and evaluation in FP programs?,"It helps track progress, identify gaps, and ensure accountability for results.",,,,,,,,,,,,,,,,,,,,,,,,
Why should FP programs focus on both women and men?,Because shared understanding and cooperation improve contraceptive use and reduce gender bias.,,,,,,,,,,,,,,,,,,,,,,,,
What is the connection between FP and women’s empowerment?,"Family planning enables women to make choices about their lives, health, and future.",,,,,,,,,,,,,,,,,,,,,,,,
How does family planning save government resources?,"By reducing unintended pregnancies and associated healthcare costs, freeing resources for education and development.",,,,,,,,,,,,,,,,,,,,,,,,
What can healthcare workers do to increase FP use?,"Provide counseling, accurate information, and supportive services that build trust with clients.",,,,,,,,,,,,,,,,,,,,,,,,
What improvements were observed in the availability of basic equipment for FP service delivery between 2015 and 2021?,The proportion of facilities possessing basic equipment and instruments increased from 54% in 2015 to 61% in 2021,an improvement of 7 percentage points.,,,,,,,,,,,,,,,,,,,,,,,
Which FP service equipment showed improvements in functioning between 2015 and 2021?,Functioning digital and manual blood pressure apparatus,stethoscopes,examination lights,and examination bedtable goose lamps showed improvements.,,,,,,,,,,,,,,,,,,,,,
Which FP equipment items remained unchanged between 2015 and 2021?,Items that remained unchanged included FP visual aids,models showing condom use,FP counseling kits,fact sheets at service sites,health service cards,and FP service registers.,,,,,,,,,,,,,,,,,,,
What is the service readiness index and how did it change between 2015 and 2021?,The service readiness index measures the availability of key items supporting FP service delivery; overall readiness did not change significantly between 2015 and 2021.,,,,,,,,,,,,,,,,,,,,,,,,
How did the availability of FP guidelines in facilities change between 2015 and 2021?,Facilities with FP guidelines increased from 12.8% in 2015 to 20.4% in 2021,an improvement of 7.6 percentage points.,,,,,,,,,,,,,,,,,,,,,,,
How did the availability of blood pressure measuring devices with stethoscopes change from 2015 to 2021?,Facilities with access to digital or manual BP apparatus with a stethoscope increased from 86.6% in 2015 to 96.4% in 2021,an increase of 9.8 percentage points.,,,,,,,,,,,,,,,,,,,,,,,
How did provider adherence to FP service quality standards change from 2015 to 2021?,The overall index of providers’ adherence to quality FP service standards improved from 27% in 2015 to 36% in 2021.,,,,,,,,,,,,,,,,,,,,,,,,
Which domains of FP service delivery did not show improvement in provider adherence between 2015 and 2021?,There were no observed improvements in the domains of physical examination and discussion of partners and sexually transmitted infections (STIs).,,,,,,,,,,,,,,,,,,,,,,,,
Which regions showed exceptions in the pattern of provider adherence improvements?,The mountain ecological region and the provinces of Bagmati and Karnali showed exceptions in the pattern of improvement.,,,,,,,,,,,,,,,,,,,,,,,,
How did client satisfaction with FP services change between 2015 and 2021?,Client satisfaction improved,as the proportion of clients reporting problems during visits declined by 5 percentage points between 2015 and 2021.,,,,,,,,,,,,,,,,,,,,,,,
What does the decline in client-reported problems indicate?,The decline in client-reported problems indicates improved service quality and client satisfaction with FP services.,,,,,,,,,,,,,,,,,,,,,,,,
How did stockouts of combined oral contraceptive pills change from 2015 to 2021?,Stockouts of combined oral contraceptive pills increased from 16% in 2015 to 23% in 2021,a rise of 7.3 percentage points.,,,,,,,,,,,,,,,,,,,,,,,
What improvements were seen in contraceptive storage conditions between 2015 and 2021?,The proportion of facilities storing contraceptives in well-ventilated rooms increased from 83% in 2015 to 93% in 2021,an improvement of 8.2 percentage points.,,,,,,,,,,,,,,,,,,,,,,,
How did the timeliness of FP commodity deliveries change between 2015 and 2021?,Facilities receiving FP commodities within two weeks of placing an order increased from 71% in 2015 to 81% in 2021,a 10 percentage point improvement.,,,,,,,,,,,,,,,,,,,,,,,
What do the trends in contraceptive commodity management suggest?,The trends show mixed results,with improved storage and delivery timeliness but increased stockouts of oral contraceptive pills.,,,,,,,,,,,,,,,,,,,,,,,
When did the Nepal Family Planning Project start and end?,It started in December 2016 and ended in December 2021.,,,,,,,,,,,,,,,,,,,,,,,,
What was the main goal of the Nepal Family Planning Project?,To increase access to and use of family planning services among excluded and marginalized women and adolescent girls in 15 districts of Nepal.,,,,,,,,,,,,,,,,,,,,,,,,
Which provinces were covered by the Nepal Family Planning Project?,"Province 1, Province 2, Lumbini Province, Karnali Province, and Sudurpaschim Province.",,,,,,,,,,,,,,,,,,,,,,,,
Who funded the Nepal Family Planning Project?,The project was funded by UKaid with a total budget of GBP 4.7 million.,,,,,,,,,,,,,,,,,,,,,,,,
Which organizations implemented the project?,"Adventist Development Relief Agency, Marie Stopes International, and Jhpiego, in collaboration with the Government of Nepal.",,,,,,,,,,,,,,,,,,,,,,,,
What was the total budget expenditure of the project?,"The project spent GBP 4.6 million, achieving 99 percent financial expenditure.",,,,,,,,,,,,,,,,,,,,,,,,
How many health facilities integrated family planning and immunization services?,A total of 27 health facilities integrated FP and immunization services.,,,,,,,,,,,,,,,,,,,,,,,,
How many women received FP services at immunization clinics?,"Around 1,047 women received family planning services at immunization clinics.",,,,,,,,,,,,,,,,,,,,,,,,
How many people were reached through family planning demand generation activities?,"A total of 18,951 people were reached through FP demand generation activities.",,,,,,,,,,,,,,,,,,,,,,,,
What percentage of participants in FP demand generation activities were female?,About 41 percent of participants were female.,,,,,,,,,,,,,,,,,,,,,,,,
What percentage of participants were male in FP demand generation activities?,Around 59 percent of participants were male.,,,,,,,,,,,,,,,,,,,,,,,,
How many adolescent girls were reached through social mobilizers and peer educators?,"A total of 3,733 adolescent girls were reached through social mobilizers and peer educators.",,,,,,,,,,,,,,,,,,,,,,,,
How many adolescent girls were referred to FP services?,983 adolescent girls were referred to family planning services.,,,,,,,,,,,,,,,,,,,,,,,,
What percentage of referred adolescent girls adopted a contraceptive method?,About 71 percent of referred adolescent girls adopted a contraceptive method.,,,,,,,,,,,,,,,,,,,,,,,,
How many women adopted a long-acting reversible contraceptive (LARC)?,"A total of 30,274 women adopted a LARC method.",,,,,,,,,,,,,,,,,,,,,,,,
What percentage of LARC users were from marginalized ethnic groups?,56 percent of LARC users were from marginalized ethnic groups.,,,,,,,,,,,,,,,,,,,,,,,,
How many health facilities were assessed using QI/MSS tools?,A total of 188 health facilities were assessed using quality improvement/minimum service standard tools.,,,,,,,,,,,,,,,,,,,,,,,,
How many adolescent-friendly service (AFS) sites were established?,144 adolescent-friendly service sites were established at public health facilities.,,,,,,,,,,,,,,,,,,,,,,,,
How many AFS sites were assessed and certified under the project?,A total of 24 AFS sites were assessed and certified.,,,,,,,,,,,,,,,,,,,,,,,,
How many adolescents adopted a contraceptive method from AFS sites?,"23,977 adolescents adopted a contraceptive method from AFS sites.",,,,,,,,,,,,,,,,,,,,,,,,
What were the most commonly used FP methods among adolescents?,"Implants (37%), injectables (35%), pills (26%), and IUCDs (2%).",,,,,,,,,,,,,,,,,,,,,,,,
What percentage of adolescents used implants from AFS sites?,Around 37 percent of adolescents used implants as their FP method.,,,,,,,,,,,,,,,,,,,,,,,,
What was the gender breakdown in trainings and orientations under the project?,"Out of 64,551 total participants, 72 percent were female.",,,,,,,,,,,,,,,,,,,,,,,,
How did the project strengthen service delivery quality?,"Through capacity building, use of QI/MSS tools, and health worker training to improve service standards.",,,,,,,,,,,,,,,,,,,,,,,,
What percentage of LARC users came from marginalized ethnic groups?,"84 percent of LARC users came from Dalit, Janajati, and Muslim communities.",,,,,,,,,,,,,,,,,,,,,,,,
Which ethnic groups were categorized as marginalized in the project?,"Dalits, Muslims, and Janajatis were categorized as marginalized groups.",,,,,,,,,,,,,,,,,,,,,,,,
How many unsafe abortions were averted by the project?,"Around 6,000 unsafe abortions were prevented through FP services.",,,,,,,,,,,,,,,,,,,,,,,,
How many unintended pregnancies were averted through the project?,"Approximately 54,713 unintended pregnancies were averted.",,,,,,,,,,,,,,,,,,,,,,,,
How many maternal deaths were averted through family planning interventions?,A total of 47 maternal deaths were prevented.,,,,,,,,,,,,,,,,,,,,,,,,
What was the key lesson learned regarding community engagement?,Engaging local governments and community leaders is crucial for increasing FP uptake and creating supportive environments.,,,,,,,,,,,,,,,,,,,,,,,,
What tool was used to assess the quality of FP services?,Quality Improvement (QI) and Minimum Service Standards (MSS) tools were used.,,,,,,,,,,,,,,,,,,,,,,,,
What impact did COVID-19 have on project implementation?,"COVID-19 caused disruptions, but timely adaptations ensured activities continued.",,,,,,,,,,,,,,,,,,,,,,,,
What was one major logistical challenge during the project?,"Disruptions to supply chains, especially at the last mile, were a major challenge.",,,,,,,,,,,,,,,,,,,,,,,,
How did the project address stock-outs of FP commodities?,By closely monitoring contraceptive stock levels to avoid shortages.,,,,,,,,,,,,,,,,,,,,,,,,
What structural challenge did the federal transition cause?,"The transition to federalism created confusion over roles between federal, provincial, and local governments.",,,,,,,,,,,,,,,,,,,,,,,,
What was one key challenge related to human resources?,Low motivation among health workers affected service delivery.,,,,,,,,,,,,,,,,,,,,,,,,
What infrastructural issue did many health facilities face?,Inadequate infrastructure and lack of proper facilities in some areas.,,,,,,,,,,,,,,,,,,,,,,,,
What social barrier limited FP use in some communities?,"Cultural and religious barriers, particularly in Muslim and marginalized communities, limited FP adoption.",,,,,,,,,,,,,,,,,,,,,,,,
What was one major success of policy advocacy efforts?,"It increased support for FP programs among elected leaders, religious figures, and minority communities.",,,,,,,,,,,,,,,,,,,,,,,,
How did the project improve value for money (VfM)?,By consistently reducing the cost per LARC user each year and maintaining efficient financial management.,,,,,,,,,,,,,,,,,,,,,,,,
What does LARC stand for in family planning?,Long-Acting Reversible Contraceptive.,,,,,,,,,,,,,,,,,,,,,,,,
What methods are included in LARC?,Implants and intrauterine contraceptive devices (IUCDs).,,,,,,,,,,,,,,,,,,,,,,,,
How did the project support adolescent health?,By establishing and certifying adolescent-friendly service (AFS) sites and providing youth-centered education.,,,,,,,,,,,,,,,,,,,,,,,,
Why was the FP project significant for marginalized women?,It focused on increasing access and utilization of FP services among excluded and disadvantaged groups.,,,,,,,,,,,,,,,,,,,,,,,,
What was the project’s approach to demand generation?,"It used peer educators, community outreach, and local awareness campaigns to promote FP use.",,,,,,,,,,,,,,,,,,,,,,,,
What was one key recommendation for the future?,To scale up FP programs in low-performing districts and tailor them to local contexts.,,,,,,,,,,,,,,,,,,,,,,,,
How will local government ownership help FP programs?,It ensures sustainability and alignment with local health priorities under the federal system.,,,,,,,,,,,,,,,,,,,,,,,,
What does QI/MSS assessment help identify?,It helps identify service quality gaps and areas needing improvement at health facilities.,,,,,,,,,,,,,,,,,,,,,,,,
What was the long-term goal of Nepal’s FP efforts?,To achieve FP targets under the Sustainable Development Goals (SDGs) and reach underserved populations first.,,,,,,,,,,,,,,,,,,,,,,,,
What is meant by 'demand generation activities' in FP?,Community events and outreach that raise awareness and motivate people to use family planning services.,,,,,,,,,,,,,,,,,,,,,,,,
What kind of training was provided to health workers?,"Competency-based training on FP counseling, LARC insertion, and service quality improvement.",,,,,,,,,,,,,,,,,,,,,,,,
What were the benefits of integrating FP with immunization services?,It reached new mothers effectively and increased postpartum FP use.,,,,,,,,,,,,,,,,,,,,,,,,
Why was adolescent inclusion important in the FP project?,Because adolescents have unique reproductive health needs and are often overlooked in FP programs.,,,,,,,,,,,,,,,,,,,,,,,,
What does ‘federal context’ refer to in Nepal’s FP program?,It refers to the decentralized governance system that gives provinces and municipalities more responsibility for health services.,,,,,,,,,,,,,,,,,,,,,,,,
Why must FP programs be localized?,Because local tailoring ensures cultural relevance and addresses specific community barriers to FP.,,,,,,,,,,,,,,,,,,,,,,,,
What did the project do to engage religious and minority leaders?,It organized orientations and dialogues to gain their support for family planning initiatives.,,,,,,,,,,,,,,,,,,,,,,,,
How many health providers were trained or oriented during the project?,"A total of 64,551 individuals participated in trainings and orientations.",,,,,,,,,,,,,,,,,,,,,,,,
What percentage of health training participants were women?,"About 72 percent of participants were female, reflecting women’s strong role in FP delivery.",,,,,,,,,,,,,,,,,,,,,,,,
How was the quality of services monitored during the project?,Through regular assessments using the QI/MSS framework and supervision visits.,,,,,,,,,,,,,,,,,,,,,,,,
What financial efficiency did the project maintain?,"It achieved 98.9 percent of planned spending, showing strong financial performance.",,,,,,,,,,,,,,,,,,,,,,,,
What was one major finding from the FP project’s studies and assessments?,That sociocultural norms and limited awareness remain major barriers to contraceptive uptake.,,,,,,,,,,,,,,,,,,,,,,,,
What is one key takeaway for Nepal’s FP future?,Nepal needs to accelerate progress and strengthen local government ownership to meet its FP and SDG targets.,,,,,,,,,,,,,,,,,,,,,,,,
"""Which countries are being compared for FP services in this study?"",""Nepal and Sri Lanka, both low- and middle-income countries in the SAARC region.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""How do Nepal and Sri Lanka compare in terms of population and fertility?"",""Both countries have similar populations and total fertility rates: 2.3 per woman in Nepal and 2.2 per woman in Sri Lanka.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""What is the contraceptive prevalence rate (CPR) in Nepal and Sri Lanka?"",""In Nepal, CPR is 53% with 43% using modern methods. In Sri Lanka, CPR is 65% with 54% using modern methods.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""How do the Human Development Index (HDI) rankings of Nepal and Sri Lanka compare?"",""Nepal is ranked 142 and Sri Lanka 72 in the HDI 2020.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""What is the status of health service delivery in both countries?"",""Both countries are recovering from civil conflicts and have devolved some health services to subnational governance. Nepal implemented the new system in 2017, while Sri Lanka has a devolved health system since 1989.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""What is SSLE in the context of FP services?"",""SSLE stands for South-South Learning Exchange, a systematic approach used to expand and accelerate rights-based FP services through health system strengthening.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""When did Nepal and Sri Lanka start the SSLE process?"",""The conversation started in January 2020, using the WHO FP Accelerator project five-step methodology.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""How was SSLE impacted by COVID-19?"",""Despite the COVID-19 pandemic and other challenges, SSLE continued.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""What progress had been made by December 2021?"",""The two countries reached the fourth step of SSLE and began implementing lessons learned.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""How many exchange and in-country meetings were held during the SSLE process?"",""Three exchange meetings between the countries and four in-country meetings were held to absorb lessons and prepare for the next exchange.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""When is the final evaluation of the SSLE outcomes planned?"",""December 2022.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""Who were the key stakeholders in the Nepal team for SSLE?"",""Key stakeholders included Adventist Development and Relief Agency (team leader), Family Welfare Division-Department of Health Services (Chief FP and RH section and Chief Child Health and Immunisation section), DFID Nepal (Health Advisor), Ipas (Deputy Chief of Party), Knowledge Success, Nepal CRS Company (Managing Director), Nepal Health Sector",Support,Programme-DFID,(FP,"Advisor),",Province,5,Provincial,Health,"Directorate,",UNFPA,(NPO-FP,&,RH,Commodity,"Security),",USAID,(Senior,Programme,"Specialist-FP/RH),",Visible,Impact,"(President),",and,WHO,"Nepal."""
"""Who were the key stakeholders in the Sri Lanka team for SSLE?"",""Key stakeholders included Family Health Bureau (FHB) (Director/Maternal and Child Health and National Programme Manager-FP Programme), Family Planning Association of Sri Lanka (Executive Director and Advocacy Director), UNFPA (National Programme Associate), and WHO Sri Lanka (NPO).""",,,,,,,,,,,,,,,,,,,,,,,,,
"""What role did WHO catalytic funds play in the SSLE process?"",""WHO catalytic funds facilitated the SSLE process, mainly supporting online calls and monitoring the SSLE due to travel restrictions from COVID-19.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""What domestic resources supported SSLE implementation in Sri Lanka?"",""Domestic resources from the Ministry of Health supported development, piloting, and scaling up of a new web-based LMIS and updating the Reproductive Health information system with PPFP information.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""What domestic resources supported SSLE implementation in Nepal?"",""In Nepal, the Ministry of Health, UN societies including WHO, civil society, academia, and implementing partners supported and funded the strengthening and integration of PPFP into RMNCAH services.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""Who conducted the evaluation of the SSLE process?"",""An independent consultant from Sri Lanka carried out the evaluation.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""How was the evaluation conducted?"",""The evaluation was transparent, inclusive, participatory, and focused on learning, ensuring high engagement and consultation with stakeholders throughout.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""What framework was used for the evaluation of SSLE?"",""The evaluation was framed around the five steps of WHO SSLE methodology: (1) Define the need and purpose of the learning exchange, (2) Plan the SSLE, (3) Facilitate the learning exchange, (4) Support implementation of the action plan, (5) Follow-up after the learning exchange, with an additional question on WHO’s effectiveness as a knowledge broker.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""What was the purpose of the evaluation?"",""The evaluation aimed to draw lessons from the implementation of SSLE between Nepal and Sri Lanka and assess the role of WHO in facilitating the process.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""What methods were used for data collection and analysis in the SSLE evaluation?"",""The evaluation used mixed methods, drawing on quantitative and qualitative data, including desk reviews, key informant interviews (KIIs), and face-to-face/telephone interviews with stakeholders.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""What sources were included in the desk review?"",""Global, regional, and country-level documents such as existing policies, strategies, programme documents, SSLE meeting notes, shared documents, WHO GPW13, WHO Country Cooperation Strategies of Nepal and Sri Lanka, Demographic and Health Surveys, FP2020 Commitments update questionnaires, and the 2016 Sri Lanka National Family Planning Review.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""How were key informants selected for interviews?"",""Five key informants were identified in consultation with the Ministry of Health (MoH) and WHO Country Office (WCO).""",,,,,,,,,,,,,,,,,,,,,,,,,
"""What monitoring systems were used during SSLE?"",""An inbuilt monitoring system tracked progress, reasons for delays, and problem-solving through monthly reports, teleconferences, post-meeting questionnaires, and an After-Action Review conducted at the end of step three.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""What was the purpose of the After-Action Review?"",""To evaluate knowledge exchange, understand what worked or didn’t, analyze why, and identify changes needed for effective implementation.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""What did Nepal identify as key gaps in FP programmes?"",""Use of modern contraceptives had stagnated at ~43%, demand satisfied with modern methods was 56%, postpartum FP use was low (22.6%), and unmet need was high (31.5%) compared to all married women (mCPR 43%, unmet need 24%). Postpartum family planning (PPFP) was identified as a missed opportunity.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""What learning need did Nepal identify for SSLE?"",""To improve organisation of clinical services to strengthen integration of PPFP, with a focus on provincial-level ownership and practical 'how-to' approaches for reproductive health service delivery throughout the lifecycle.""",,,,,,,,,,,,,,,,,,,,,,,,,
"""What task-sharing experience was shared by Nepal?"",""Nepal successfully implemented task-sharing for implant insertion from medical officers to Public Health Nursing Sisters (PHNS), maintaining service continuity despite staff transfers.""",,,,,,,,,,,,,,,,,,,,,,,,,
What is postpartum family planning?,Postpartum family planning refers to the prevention of unintended and closely spaced pregnancies during the first twelve months following childbirth.,,,,,,,,,,,,,,,,,,,,,,,,
Why is postpartum family planning important?,Postpartum family planning helps protect the health of mothers and infants by preventing closely spaced pregnancies and allowing families to plan their desired number of children.,,,,,,,,,,,,,,,,,,,,,,,,
Who are the primary beneficiaries of postpartum family planning services?,Married women who have recently given birth and are within the first year after delivery are the primary beneficiaries of postpartum family planning services.,,,,,,,,,,,,,,,,,,,,,,,,
What are the common modern contraceptive methods used by women in Nepal after childbirth?,Common methods include condoms,Depo-Provera injections,and oral contraceptive pills,while some couples choose permanent methods such as tubectomy or vasectomy.,,,,,,,,,,,,,,,,,,,,,
What are the main reasons women in Nepal do not use family planning after childbirth?,Common reasons include the husband being away for work,the belief that family planning is unnecessary during breastfeeding,fear of side effects,not having resumed sexual activity,and lack of husband’s approval.,,,,,,,,,,,,,,,,,,,,
How does a husband’s occupation affect family planning use in Nepal?,Many husbands work as migrant laborers away from home,which reduces the perceived need for family planning among their wives.,,,,,,,,,,,,,,,,,,,,,,,
What factors increase the likelihood of women using postpartum family planning?,Past use of family planning,receiving counseling during antenatal or postnatal visits,resumption of menstruation,and good knowledge of contraceptive methods increase the likelihood of postpartum family planning use.,,,,,,,,,,,,,,,,,,,,,
Why is counseling during antenatal and postnatal care important for family planning?,Counseling during these visits helps women understand the benefits and available methods of family planning,leading to better awareness and increased use.,,,,,,,,,,,,,,,,,,,,,,,
What is the role of antenatal care in family planning?,Antenatal care provides an opportunity for health workers to educate expectant mothers about family planning options that can be used after delivery.,,,,,,,,,,,,,,,,,,,,,,,,
What is the role of postnatal care in family planning?,Postnatal care helps women receive counseling and access to family planning services after childbirth,promoting timely and informed contraceptive use.,,,,,,,,,,,,,,,,,,,,,,,
How does resumption of menstruation influence family planning decisions?,Women are more likely to start using family planning methods after their menstrual cycle resumes because they perceive the return of fertility.,,,,,,,,,,,,,,,,,,,,,,,,
What is the relationship between previous use of family planning and current use after childbirth?,Women who have previously used family planning methods are more likely to continue or resume their use after childbirth due to prior knowledge and positive experience.,,,,,,,,,,,,,,,,,,,,,,,,
What is meant by unmet need for family planning?,Unmet need refers to women who wish to delay or stop having children but are not using any family planning method.,,,,,,,,,,,,,,,,,,,,,,,,
What is unmet need for spacing?,Unmet need for spacing means a woman wants to delay her next pregnancy for at least two years but is not using a contraceptive method.,,,,,,,,,,,,,,,,,,,,,,,,
What is unmet need for limiting?,Unmet need for limiting means a woman does not want more children but is not using any contraceptive method.,,,,,,,,,,,,,,,,,,,,,,,,
What are the most common sources of information on family planning for women in Nepal?,Media such as radio,television,and health workers are major sources of information on family planning for women.,,,,,,,,,,,,,,,,,,,,,,
What does high knowledge but low practice of family planning mean?,It means that although many women know about family planning methods,not all of them actually use them due to social,cultural,or personal barriers.,,,,,,,,,,,,,,,,,,,,,
Why is there a preference for short-term family planning methods in Nepal?,Many women prefer short-term methods like condoms and injections due to their easy accessibility,temporary nature,and fewer social barriers.,,,,,,,,,,,,,,,,,,,,,,
How can family planning services be improved in Nepal?,Improvement can be achieved through better counseling,ensuring the availability of a variety of contraceptive options,addressing myths and fears,and involving husbands in decision-making.,,,,,,,,,,,,,,,,,,,,,
Why is husband involvement important in family planning decisions?,In many Nepalese families,husbands influence reproductive decisions,so their support and understanding are essential for successful family planning use.,,,,,,,,,,,,,,,,,,,,,,
What are the main benefits of family planning for families and society?,Family planning improves maternal and child health,reduces maternal mortality,supports economic stability,and contributes to national development.,,,,,,,,,,,,,,,,,,,,,
How does migration affect family planning use in Nepal?,Migration of husbands for work reduces the immediate need for contraceptives among women but can lead to unplanned pregnancies when they return if couples are not prepared.,,,,,,,,,,,,,,,,,,,,,,,,
Why do some women believe family planning is unnecessary after childbirth?,Some women rely on breastfeeding as a natural contraceptive method or believe they cannot get pregnant until their menstruation resumes,leading to misconceptions.,,,,,,,,,,,,,,,,,,,,,,,
What challenges affect the use of family planning in rural Nepal?,Challenges include lack of counseling,limited access to services,social taboos,fear of side effects,and lack of husband’s or family’s support.,,,,,,,,,,,,,,,,,,,,
How can healthcare providers encourage family planning use among postpartum women?,Healthcare providers can offer consistent counseling,address fears and misconceptions,and ensure that contraceptives are available and affordable.,,,,,,,,,,,,,,,,,,,,,,
Why is education important in promoting family planning?,Education helps women and couples understand the benefits,methods,and correct use of contraceptives,leading to informed decision-making.,,,,,,,,,,,,,,,,,,,,,
How can media contribute to increasing family planning awareness?,Media campaigns can spread accurate information,reduce stigma,and encourage couples to seek family planning services.,,,,,,,,,,,,,,,,,,,,,,
What are the ethical considerations in providing family planning services?,Family planning services must respect clients’ rights to informed choice,confidentiality,and voluntary participation without coercion.,,,,,,,,,,,,,,,,,,,,,,
What impact does good counseling have on postpartum family planning uptake?,Women who receive good counseling during health visits are more confident and likely to adopt suitable family planning methods after childbirth.,,,,,,,,,,,,,,,,,,,,,,,,
How can Nepal reduce the unmet need for family planning?,By expanding access to quality family planning services,improving counseling,addressing myths,and ensuring supply of contraceptive options in both rural and urban areas.,,,,,,,,,,,,,,,,,,,,,
Who are considered adolescents and young people in Nepal?,Adolescents and young people are those between 15 and 24 years of age.,,,,,,,,,,,,,,,,,,,,,,,,
Why is it important to include adolescents and youth in family planning discussions?,It is important because young people face unique challenges in accessing information and services,and early awareness helps them make informed decisions about their sexual and reproductive health.,,,,,,,,,,,,,,,,,,,,,,,
How can youth involvement improve family planning awareness in communities?,Youth can spread awareness through peer-to-peer education,role plays,dramas,and counseling sessions,helping others understand and accept family planning practices.,,,,,,,,,,,,,,,,,,,,
What is the peer-to-peer education approach in family planning?,Peer-to-peer education is a method where young people educate and counsel others of similar age about family planning and reproductive health to promote understanding and behavioral change.,,,,,,,,,,,,,,,,,,,,,,,,
How can schools support family planning education among adolescents?,Schools can integrate family planning and reproductive health topics into their curriculum to improve students’ knowledge and attitudes toward responsible parenthood.,,,,,,,,,,,,,,,,,,,,,,,,
